"Back to Top","Back to Top"
"Toggle Nav","Toggle Nav"
Account,Account
"Hello %s!","Hello %s!"
"Hello! Sign in","Hello! Sign in"
Wishlist,Wishlist
"Welcome, %1!","Welcome, %1!"
Checkout,Checkout
